rank,expanded_case_id,dataset,question_id,image_id,image_path,local_image_path,prompt,ground_truth,dense_prediction,sparse_prediction,ours_prediction,threshold_prediction,dense_is_correct,is_sparse_wrong,is_ours_correct,is_threshold_correct,case_group,semantic_type,structural_type,detailed_type,pope_category,candidate_reason,selection_note
100,GQA_06199707,gqa,06199707,2353040,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2353040.jpg,data/kaggle_datasets/GQA/images/2353040.jpg,What is located on top of the oven in this photo?,pot,Pizza,Pizza,Pot,Pizza,False,True,True,False,ours_only_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
101,GQA_09880084,gqa,09880084,2405889,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2405889.jpg,data/kaggle_datasets/GQA/images/2405889.jpg,Is the man to the left of a child?,yes,No,No,Yes,No,False,True,True,False,ours_only_recovery,rel,verify,relVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
102,GQA_06861548,gqa,06861548,2386261,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2386261.jpg,data/kaggle_datasets/GQA/images/2386261.jpg,Is the tray red?,yes,No,No,Yes,No,False,True,True,False,ours_only_recovery,attr,verify,verifyAttr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
103,GQA_08842779,gqa,08842779,2386918,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2386918.jpg,data/kaggle_datasets/GQA/images/2386918.jpg,Do the long pants look blue?,yes,No,No,Yes,No,False,True,True,False,ours_only_recovery,attr,verify,verifyAttrK,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
104,POPE_adversarial_43,pope,adversarial_43,COCO_val2014_000000461331.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000461331.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000461331.jpg,Is there a tv in the image?,yes,no,no,yes,no,False,True,True,False,ours_only_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
105,POPE_popular_43,pope,popular_43,COCO_val2014_000000461331.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000461331.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000461331.jpg,Is there a tv in the image?,yes,no,no,yes,no,False,True,True,False,ours_only_recovery,,,,popular,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
106,GQA_101022616,gqa,101022616,2407031,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2407031.jpg,data/kaggle_datasets/GQA/images/2407031.jpg,Is the bathtub dirty?,yes,No,No,Yes,No,False,True,True,False,ours_only_recovery,attr,verify,verifyAttr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
107,GQA_13711591,gqa,13711591,2375467,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2375467.jpg,data/kaggle_datasets/GQA/images/2375467.jpg,How is the vehicle that is the same color as the sign on the pole called?,truck,Van,Car,Truck,Car,False,True,True,False,ours_only_recovery,rel,query,sameRelate,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
108,GQA_08607019,gqa,08607019,2391115,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2391115.jpg,data/kaggle_datasets/GQA/images/2391115.jpg,On which side of the photo is the person?,right,Left,Left,Right,Left,False,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
109,GQA_04722449,gqa,04722449,2353599,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2353599.jpg,data/kaggle_datasets/GQA/images/2353599.jpg,What type of food is to the left of the man on the right side?,cookies,Bread,Dip,Cookies,Dip,False,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
110,GQA_15327538,gqa,15327538,2378167,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2378167.jpg,data/kaggle_datasets/GQA/images/2378167.jpg,What kind of clothing is long?,jacket,Coat,Pants,Jacket,Coat,False,True,True,False,ours_only_recovery,cat,query,categoryThat,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
111,GQA_19609252,gqa,19609252,2346094,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2346094.jpg,data/kaggle_datasets/GQA/images/2346094.jpg,Who is wearing the watch?,man,Boy,Boy,Man,Boy,False,True,True,False,ours_only_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
112,GQA_19459620,gqa,19459620,61584,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/61584.jpg,data/kaggle_datasets/GQA/images/61584.jpg,Is the car to the right or to the left of the people?,left,Right,Right,Left,Right,False,True,True,False,ours_only_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
113,GQA_16740814,gqa,16740814,2412745,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2412745.jpg,data/kaggle_datasets/GQA/images/2412745.jpg,What is the size of the white vehicle?,large,Small,Small,Large,Small,False,True,True,False,ours_only_recovery,attr,query,directOf,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
114,GQA_01707797,gqa,01707797,2360581,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2360581.jpg,data/kaggle_datasets/GQA/images/2360581.jpg,Are there both a window and a door?,no,Yes,Yes,No,Yes,False,True,True,False,ours_only_recovery,obj,logical,existAndC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
115,GQA_10926906,gqa,10926906,2365501,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2365501.jpg,data/kaggle_datasets/GQA/images/2365501.jpg,What type of fruit is to the right of the orange?,strawberry,Grape,Watermelon,Strawberry,Melon,False,True,True,False,ours_only_recovery,rel,query,categoryRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
116,POPE_random_41,pope,random_41,COCO_val2014_000000461331.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000461331.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000461331.jpg,Is there a tv in the image?,yes,no,no,yes,no,False,True,True,False,ours_only_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
117,GQA_19321469,gqa,19321469,2397910,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2397910.jpg,data/kaggle_datasets/GQA/images/2397910.jpg,What color is the kite in the top of the photo?,pink,Green,Green,Pink,Green,False,True,True,False,ours_only_recovery,attr,query,directOf,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
118,GQA_19621613,gqa,19621613,2378535,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2378535.jpg,data/kaggle_datasets/GQA/images/2378535.jpg,What color is the bag to the left of the woman?,blue,Green,Black,Blue,White,False,True,True,False,ours_only_recovery,attr,query,directWhich,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
119,GQA_08209617,gqa,08209617,2373103,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2373103.jpg,data/kaggle_datasets/GQA/images/2373103.jpg,Is the spectator to the left or to the right of the man who is holding the racket?,right,Left,Left,Right,Left,False,True,True,False,ours_only_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
120,GQA_12182738,gqa,12182738,2349905,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2349905.jpg,data/kaggle_datasets/GQA/images/2349905.jpg,On which side of the photo is the guy?,right,Left,Left,Right,Left,False,True,True,False,ours_only_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
121,GQA_09687018,gqa,09687018,2385422,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2385422.jpg,data/kaggle_datasets/GQA/images/2385422.jpg,What color is the shirt that is not short?,purple,Pink,Pink,Purple,Pink,False,True,True,False,ours_only_recovery,attr,query,directOf,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
122,GQA_17583135,gqa,17583135,2396905,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2396905.jpg,data/kaggle_datasets/GQA/images/2396905.jpg,Which color is the traffic light that the sign is on?,black,Green,Yellow,Black,White,False,True,True,False,ours_only_recovery,attr,query,directWhich,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
123,POPE_adversarial_138,pope,adversarial_138,COCO_val2014_000000516916.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000516916.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000516916.jpg,Is there a bottle in the image?,no,yes,yes,no,yes,False,True,True,False,ours_only_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
124,GQA_11192664,gqa,11192664,2401809,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2401809.jpg,data/kaggle_datasets/GQA/images/2401809.jpg,Is the computer in the bottom?,no,Yes,Yes,No,Yes,False,True,True,False,ours_only_recovery,attr,verify,positionVerifyC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
125,GQA_01521286,gqa,01521286,2330438,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2330438.jpg,data/kaggle_datasets/GQA/images/2330438.jpg,Is the color of the egg yolk the same as the plate?,no,Yes,Yes,No,Yes,False,True,True,False,ours_only_recovery,attr,compare,twoSameC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
126,GQA_08235774,gqa,08235774,2413608,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2413608.jpg,data/kaggle_datasets/GQA/images/2413608.jpg,What is on the wall?,television,Picture,Fireplace,Television,Fireplace,False,True,True,False,ours_only_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
127,GQA_14524168,gqa,14524168,2407279,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2407279.jpg,data/kaggle_datasets/GQA/images/2407279.jpg,Which place is it?,river,Pond,Forest,River,Forest,False,True,True,False,ours_only_recovery,global,query,place,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
128,GQA_08965047,gqa,08965047,2416035,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2416035.jpg,data/kaggle_datasets/GQA/images/2416035.jpg,Are there blankets or chairs in the picture?,yes,No,No,Yes,No,False,True,True,False,ours_only_recovery,obj,logical,existOr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
129,GQA_01961352,gqa,01961352,2354201,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2354201.jpg,data/kaggle_datasets/GQA/images/2354201.jpg,Is the nightstand to the right or to the left of the pillow that is on top of the bed?,right,Left,Left,Right,Left,False,True,True,False,ours_only_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
130,GQA_131059245,gqa,131059245,2399053,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2399053.jpg,data/kaggle_datasets/GQA/images/2399053.jpg,Is the old woman to the right or to the left of the black glasses?,right,Right,Left,Right,Right,True,True,True,True,ours_and_threshold_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
131,GQA_06270739,gqa,06270739,2386979,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2386979.jpg,data/kaggle_datasets/GQA/images/2386979.jpg,Do the shorts seem to be black?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,attr,verify,verifyAttrK,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
132,GQA_07477538,gqa,07477538,2415946,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2415946.jpg,data/kaggle_datasets/GQA/images/2415946.jpg,Are there men to the right of the player in the center of the picture?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,rel,verify,existRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
133,GQA_1014659,gqa,1014659,2399995,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2399995.jpg,data/kaggle_datasets/GQA/images/2399995.jpg,Is there a kite in the sky?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,rel,verify,existRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
134,GQA_18318390,gqa,18318390,2318908,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2318908.jpg,data/kaggle_datasets/GQA/images/2318908.jpg,Is there a plate to the right of the bread on the left of the image?,no,No,Yes,No,No,True,True,True,True,ours_and_threshold_recovery,rel,verify,existRelSC,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
135,GQA_15667986,gqa,15667986,2391999,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2391999.jpg,data/kaggle_datasets/GQA/images/2391999.jpg,Is the chair in the bottom part of the image?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,attr,verify,positionVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
136,GQA_09836438,gqa,09836438,2401166,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2401166.jpg,data/kaggle_datasets/GQA/images/2401166.jpg,What is the man doing?,eating,Eating,Drinking,Eating,Eating,True,True,True,True,ours_and_threshold_recovery,attr,query,activity,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
137,GQA_171054014,gqa,171054014,713692,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/713692.jpg,data/kaggle_datasets/GQA/images/713692.jpg,Are there toys on the floor?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,rel,verify,existRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
138,GQA_19693888,gqa,19693888,2382366,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2382366.jpg,data/kaggle_datasets/GQA/images/2382366.jpg,Is the sky orange or blue?,blue,Blue,Orange,Blue,Blue,True,True,True,True,ours_and_threshold_recovery,attr,choose,chooseAttr,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
139,GQA_07250999,gqa,07250999,2369690,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2369690.jpg,data/kaggle_datasets/GQA/images/2369690.jpg,Are there any apples that are gold?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,obj,verify,existThat,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
140,POPE_adversarial_493,pope,adversarial_493,COCO_val2014_000000069189.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000069189.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000069189.jpg,Is there a bird in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
141,POPE_popular_493,pope,popular_493,COCO_val2014_000000069189.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000069189.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000069189.jpg,Is there a bird in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,popular,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
142,POPE_random_475,pope,random_475,COCO_val2014_000000069189.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000069189.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000069189.jpg,Is there a bird in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
143,GQA_07383471,gqa,07383471,2342945,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2342945.jpg,data/kaggle_datasets/GQA/images/2342945.jpg,Does the device that is not turned-off look black?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,attr,verify,verifyAttrK,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
144,POPE_adversarial_366,pope,adversarial_366,COCO_val2014_000000575755.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000575755.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000575755.jpg,Is there a knife in the image?,no,no,yes,no,no,True,True,True,True,ours_and_threshold_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
145,POPE_adversarial_189,pope,adversarial_189,COCO_val2014_000000063953.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000063953.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000063953.jpg,Is there a bicycle in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
146,POPE_popular_189,pope,popular_189,COCO_val2014_000000063953.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000063953.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000063953.jpg,Is there a bicycle in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,popular,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
147,POPE_random_179,pope,random_179,COCO_val2014_000000063953.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000063953.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000063953.jpg,Is there a bicycle in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
148,GQA_11546593,gqa,11546593,2380112,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2380112.jpg,data/kaggle_datasets/GQA/images/2380112.jpg,Is the person to the right of the people wearing a helmet?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,rel,verify,relVerify,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
149,GQA_022324,gqa,022324,2318349,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2318349.jpg,data/kaggle_datasets/GQA/images/2318349.jpg,On which side of the picture is the leather bag?,right,Right,Left,Right,Right,True,True,True,True,ours_and_threshold_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
150,GQA_08161588,gqa,08161588,2361664,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2361664.jpg,data/kaggle_datasets/GQA/images/2361664.jpg,Which side of the picture is the umbrella on?,right,Right,Left,Right,Right,True,True,True,True,ours_and_threshold_recovery,attr,query,positionQuery,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
151,GQA_0984602,gqa,0984602,2350369,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2350369.jpg,data/kaggle_datasets/GQA/images/2350369.jpg,What is in the bowl made of metal?,broccoli,Broccoli,Food,Broccoli,Broccoli,True,True,True,True,ours_and_threshold_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
152,GQA_19637969,gqa,19637969,2321955,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2321955.jpg,data/kaggle_datasets/GQA/images/2321955.jpg,Do you see any plates there that are white?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,obj,verify,existThat,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
153,GQA_09344526,gqa,09344526,2334795,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2334795.jpg,data/kaggle_datasets/GQA/images/2334795.jpg,Who wears jeans?,man,Man,Woman,Man,Man,True,True,True,True,ours_and_threshold_recovery,rel,query,relS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
154,GQA_18318004,gqa,18318004,2318908,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2318908.jpg,data/kaggle_datasets/GQA/images/2318908.jpg,Is there food to the left of the raspberries that are in the box?,yes,Yes,No,Yes,Yes,True,True,True,True,ours_and_threshold_recovery,rel,verify,existRelS,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
155,GQA_08830310,gqa,08830310,2354268,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2354268.jpg,data/kaggle_datasets/GQA/images/2354268.jpg,Is the car to the left or to the right of the person in the middle of the photo?,left,Left,Right,Left,Left,True,True,True,True,ours_and_threshold_recovery,rel,choose,relChooser,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
156,GQA_19901970,gqa,19901970,2316839,/kaggle/input/datasets/tvtttv/gqa-thesis/GQA/images/2316839.jpg,data/kaggle_datasets/GQA/images/2316839.jpg,What kind of food are the peppers in?,pasta,Pasta,Vegetables,Pasta,Pasta,True,True,True,True,ours_and_threshold_recovery,rel,query,categoryRelO,,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
157,POPE_adversarial_397,pope,adversarial_397,COCO_val2014_000000021645.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000021645.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000021645.jpg,Is there a backpack in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,adversarial,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
158,POPE_popular_397,pope,popular_397,COCO_val2014_000000021645.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000021645.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000021645.jpg,Is there a backpack in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,popular,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
159,POPE_random_379,pope,random_379,COCO_val2014_000000021645.jpg,/kaggle/input/datasets/tvtttv/pope-thesis/POPE/val2014/COCO_val2014_000000021645.jpg,data/kaggle_datasets/POPE/val2014/COCO_val2014_000000021645.jpg,Is there a backpack in the image?,yes,yes,no,yes,yes,True,True,True,True,ours_and_threshold_recovery,,,,random,SparseVLM-Original-64 is wrong and Ours-64 is correct in a non-failure-mining benchmark case.,Candidate for manual Stage 7 inspection only; not a prevalence claim and not causal proof.
